family,variant,n,win,fail,flat,winrate_pct,avg_ret_t5_pct,median_ret_t5_pct,avg_drawdown_t5_pct,conclusion
BREAKOUT,10D,931,273,497,161,29.32,-0.943,-1.271,-4.544,YẾU/CẦN LỌC
BREAKOUT,20D,719,206,386,127,28.65,-0.892,-1.311,-4.448,YẾU/CẦN LỌC
BREAKOUT,5D,1092,332,575,185,30.4,-0.875,-1.236,-4.652,YẾU/CẦN LỌC
PULLBACK,MA10,388,143,190,55,36.86,-0.204,-0.69,-4.784,YẾU/CẦN LỌC
PULLBACK,MA20,175,75,75,25,42.86,0.726,-0.039,-4.259,YẾU/CẦN LỌC
PULLBACK,MA5,738,255,366,117,34.55,-0.246,-0.954,-4.869,YẾU/CẦN LỌC
RELATIVE_STRENGTH,RS10,788,278,386,124,35.28,-0.523,-0.889,-5.473,YẾU/CẦN LỌC
RELATIVE_STRENGTH,RS20,1201,414,582,205,34.47,-0.4,-0.809,-5.209,YẾU/CẦN LỌC
RELATIVE_STRENGTH,RS5,553,170,308,75,30.74,-1.292,-1.77,-5.995,YẾU/CẦN LỌC
VOLUME_FILTER,1.2X,1291,425,660,206,32.92,-0.751,-1.138,-5.121,YẾU/CẦN LỌC
VOLUME_FILTER,1.5X,946,309,481,156,32.66,-0.651,-1.104,-5.069,YẾU/CẦN LỌC
VOLUME_FILTER,2.0X,543,178,279,86,32.78,-0.744,-1.163,-5.04,YẾU/CẦN LỌC
